id,cause_of_death,missing,dead,affected_nationality
75382,Shot,0.0,1.0,Syria
75383,Shot,0.0,1.0,Syria
75384,Shot,0.0,1.0,Syria
75385,Shot,0.0,1.0,Syria
75386,Shot,0.0,1.0,Syria
75387,Shot,0.0,1.0,Syria
75388,Shot,0.0,1.0,Syria
75389,Shot,0.0,1.0,Syria
75390,Shot,0.0,1.0,Syria
75391,Shot,0.0,1.0,Syria
75392,Shot,0.0,1.0,Syria
75393,Shot,0.0,1.0,Syria
75394,Shot,0.0,1.0,Syria
75395,Shot,0.0,1.0,Syria
75396,Shot,0.0,1.0,Syria
76579,Drowning,0.0,1.0,Nigeria
76580,Drowning,17.0,0.0,Ethiopia
77377,Murdered by gang members,0.0,1.0,Honduras
78177,Assaulted by smugglers,0.0,1.0,Cuban
78580,Drowning,0.0,1.0,Mexico
78581,Dehydration,0.0,0.5,Nigeria
78581,Dehydration,0.0,0.5,Mali
78581,Dehydration,0.0,0.5,Senegal
78581,Dehydration,0.0,0.5,Guinea
78581,Dehydration,0.0,0.3333333333333333,Ivory Coast
78581,Dehydration,0.0,0.16666666666666666,Liberia
78977,Shot,0.0,4.0,Mali
78978,Suffocation,0.0,2.0,Cameroonia
79777,Drowning,0.0,1.0,El Salvador
80178,Drowning,4.0,13.0,Tunisia
80179,Murdered,0.0,1.0,Honduras
80579,Hyperthermia,0.0,1.0,Honduras
80580,Hyperthermia,0.0,1.0,Mexico
80582,Hyperthermia,0.0,1.0,Mexico
80583,Hyperthermia,0.0,1.0,Mexico
80584,Hyperthermia,0.0,1.0,Guatemala
80586,Hyperthermia,0.0,1.0,Mexico
80977,Hyperthermia,0.0,1.0,Mexico
80978,Hyperthermia,0.0,1.0,Mexico
80979,Hyperthermia,0.0,1.0,Guatemala
80981,Shot,0.0,1.0,Mexico
80985,Hyperthermia,0.0,1.0,Mexico
81782,Hit by vehicle,0.0,1.0,Honduras
81784,Vehicle accident,0.0,1.0,Honduras
82179,Murdered,0.0,1.0,El Salvador
82181,Hit by vehicle,0.0,1.0,Eritria
82183,Dehydration,0.0,1.0,Mexico
82977,Vehicle Accident,0.0,1.0,Honduras
83377,Criminal Violence,0.0,1.0,Nicaragua
83782,Drowning,20.0,1.0,West Africa
83783,Drowning,0.0,1.0,Honduras
84177,Drowning,4.333333333333333,0.0,Cuba
84177,Drowning,0.3333333333333333,0.0,Dominican Republic
84177,Drowning,0.3333333333333333,0.0,Colombia
84577,Mixed,0.0,32.0,Mexico
84980,Drowning,0.0,1.0,Mexico
85779,Hit by vehicle,0.0,1.0,Sudan
86577,Drowning,11.0,15.0,Indonesia
86977,Beaten to death,0.0,1.0,Ethiopia
86978,Dehydration,0.0,1.0,Mexico
87377,Drowning,0.0,1.0,Mexico
88177,Poison,0.0,1.0,Mexico
88977,Drowning,0.0,1.0,Honduras
88979,Drowning,0.0,1.0,Mexico
89378,Shot,0.0,9.0,Sudan
89777,Drowning,0.0,1.0,Mexico
89781,Drowning,0.0,8.0,Africa
89782,Drowning,0.0,1.0,Morocco
89788,Hyperthermia,0.0,1.0,Guatemala
89790,Hyperthermia,0.0,1.0,Mexico
89792,Hyperthermia,0.0,1.0,Honduras
89795,Hyperthermia,0.0,1.0,Honduras
90177,Drowning,0.0,1.0,Mahgreb
90180,Hyperthermia,0.0,1.0,Mexico
90181,Hyperthermia,0.0,1.0,El Salvador
90183,Hyperthermia,0.0,1.0,Honduras
90184,Hyperthermia,0.0,1.0,Guatemala
90186,Hyperthermia,0.0,1.0,Ecuador
90187,Hyperthermia,0.0,1.0,Guatemala
90188,Beaten to death,0.0,1.0,Mexico
90189,Hyperthermia,0.0,1.0,Guatemala
90577,Exposure,0.0,1.0,Guatemala
91377,Hit by vehicle,0.0,1.0,Haiti
91777,Drowning,0.0,21.0,Mixed
92177,Vehicle accident,0.0,1.0,Mexico
92178,Vehicle accident,0.0,4.0,Mexico
92179,Vehicle accident,0.0,1.0,Honduras
92180,Drowning,0.0,3.0,El Salvador and Honduras
92578,Drowning,0.0,1.0,Guatemala
92579,Fell from train,0.0,1.0,Honduras
92979,Dehydration,0.0,1.0,Mexico
93378,Dehydration,0.0,1.0,Guatemala
93777,Dehydration,0.0,1.0,Dominican Republic
94177,Dehydration,0.0,1.0,El Salvador
94180,Dehydration,0.0,1.0,Honduras
94577,Hypothermia,0.0,1.0,Haiti
94977,Murdered,0.0,0.5,Honduras
94977,Murdered,0.0,1.5,Mexico
94978,Vehicle accident,0.0,1.0,Mexico
94980,Drowning,2.0,5.0,Syria
95377,Exposure,0.0,1.0,Mexico
95378,Drowning,1.0,0.0,Morocco
95379,Drowning,2.0,1.0,Syria
96577,Car accident,0.0,1.0,Guatemala
96977,Drowning,2.0,1.0,Mexico
96979,Injured,0.0,1.0,Eritrea
